Bin,Age,FeH,Xkpc,Ykpc,Zkpc,Rkpc,Th,XRelkpc,YRelkpc,ZRelkpc,RRelkpc,Galb,Gall,ID,UID,time,event,semiMajor,eccentricity,type1,mass1,radius1,Teff1,massHeCore1,type2,mass2,radius2,Teff2,massHeCore2,RDonorRSun,qSet,aRLORSun,PSetDWDFormHours,PSetRLOHours,TGWMyrSetTot,aLISABandRSun,TGWMyrToLISABandSet,TGWMyrLISABandToRLOSet,AbsTimeToLISAMyr,AbsTimeToLISAEndMyr,SubBinAbsID,SubBinLocalID,BinID,SubBinMidAge,SubBinDeltaT,SubBinNDWDsCode,SubBinNDWDsReal,ATodayRSun,PSetTodayHours
2.0,456.94444444444446,0.09203165159279272,-3.946310398248683,0.6417641379262706,0.0033444816053511705,3.998152944555014,1.1018783787931268,-12.146310398248682,0.6417641379262706,0.028344481605351173,12.163285777657688,0.0023303330841181855,3.0888055997451622,340930,340930,404.35840256454514,12.0,0.7070239381026467,0.0,22.0,0.9322099208994088,0.008817898740112236,14705.200830841,0.9322099208994088,22.0,0.5192616732170766,0.013929936974329286,102166.73641081728,0.5192616732170766,0.013810001690382687,0.5570222560129867,0.04190416721191936,1.3718336843988552,0.01979411578163237,53.42083116344806,1.7963245547461795,0.0,53.420171984962465,404.35840256454514,457.7785745495076,10.0,6.0,1.0,456.94444444444446,47.22222222222222,428.0,15799.434047131439,0.24997735834115148,0.2884040113526103
2.0,456.94444444444446,0.07845973158871057,-3.795503701175192,-1.0648536764271543,-0.1651545583194942,3.942050443339736,1.1018783787931268,-11.995503701175192,-1.0648536764271543,-0.1401545583194942,12.04349059439687,-0.011637632868808766,3.230131637125455,78323,78323,454.4001119312081,12.0,0.3890028858001731,0.0,23.0,1.2055722435617409,0.004884671566680495,18592.07067388251,1.2055722435617409,22.0,0.4840990838125487,0.014477409427287752,98474.92667623481,0.4840990838125487,0.01434009351079661,0.40155128520736927,0.04727157431440073,0.5188988080565913,0.021981308302864273,3.487901846241624,1.8896557978735558,0.0,3.487141251660717,454.4001119312081,457.8872531828688,10.0,6.0,1.0,456.94444444444446,47.22222222222222,428.0,15799.434047131439,0.28054673178014394,0.3178053903331287
2.0,504.16666666666674,0.17019411363593137,-3.088571983990553,-5.6985450492721865,0.14468057674945603,6.481719878155479,1.1018783787931268,-11.288571983990552,-5.6985450492721865,0.16968057674945602,12.646504047144687,0.013417594897525044,3.609078102994722,77850,77850,382.19774640077054,12.0,0.8390561571104125,0.0,22.0,0.8223301628185575,0.010055096149681924,16723.244496522067,0.8223301628185575,22.0,0.5405154311769809,0.013613906322238507,104387.42257600183,0.5405154311769809,0.013504100583429192,0.657297343106509,0.0393440998094891,1.830281000053885,0.018584490021389313,122.89829012952833,1.75899326937205,0.0,122.89769597395055,382.19774640077054,505.0954423747211,11.0,7.0,1.0,504.16666666666674,47.22222222222222,455.0,16796.127316459824,0.2474296352457458,0.29309526388766366
2.0,504.16666666666674,-0.09152548939928296,0.5934086433595289,-5.518165339809396,0.05817521816285751,5.549980408567903,1.1018783787931268,-7.60659135664047,-5.518165339809396,0.08317521816285751,9.39772839048393,0.008850681849117843,3.7691926120352344,77850,77850,382.19774640077054,12.0,0.8390561571104125,0.0,22.0,0.8223301628185575,0.010055096149681924,16723.244496522067,0.8223301628185575,22.0,0.5405154311769809,0.013613906322238507,104387.42257600183,0.5405154311769809,0.013504100583429192,0.657297343106509,0.0393440998094891,1.830281000053885,0.018584490021389313,122.89829012952833,1.75899326937205,0.0,122.89769597395055,382.19774640077054,505.0954423747211,11.0,7.0,1.0,504.16666666666674,47.22222222222222,455.0,16796.127316459824,0.2474296352457458,0.29309526388766366
2.0,504.16666666666674,0.0028088737396208055,5.309854980207693,1.551480662626812,-0.27873399506286933,5.53187600704692,1.1018783787931268,-2.890145019792306,1.551480662626812,-0.2537339950628693,3.29004732825924,-0.07719834090426375,2.6489266020681073,34815,34815,101.20600370366759,12.0,1.4548797124854758,0.0,22.0,0.9703576784406839,0.008391117424213468,41731.132364349796,0.9703576784406839,22.0,0.9113503187011347,0.009051173507885191,145883.58307214212,0.9113503187011347,0.009097129281120124,0.9391900934567025,0.02435630083878754,3.5564693657043835,0.0077036303370595464,404.40975453888706,1.9586914898448813,0.0,404.4097227731754,101.20600370366759,505.615726476843,11.0,7.0,1.0,504.16666666666674,47.22222222222222,455.0,16796.127316459824,0.3559554446589182,0.430399641260234
2.0,504.16666666666674,-0.08044376975910204,5.842654737960708,8.5750161978138,0.10097390877054792,10.376295927727956,1.1018783787931268,-2.357345262039291,8.5750161978138,0.12597390877054793,8.894034455910269,0.014164339234329765,1.8390775146032547,77850,77850,382.19774640077054,12.0,0.8390561571104125,0.0,22.0,0.8223301628185575,0.010055096149681924,16723.244496522067,0.8223301628185575,22.0,0.5405154311769809,0.013613906322238507,104387.42257600183,0.5405154311769809,0.013504100583429192,0.657297343106509,0.0393440998094891,1.830281000053885,0.018584490021389313,122.89829012952833,1.75899326937205,0.0,122.89769597395055,382.19774640077054,505.0954423747211,11.0,7.0,1.0,504.16666666666674,47.22222222222222,455.0,16796.127316459824,0.2474296352457458,0.29309526388766366
2.0,504.16666666666674,0.04869397638127872,4.325881272916182,4.570968712349178,0.1402860599188515,6.293409549412943,1.1018783787931268,-3.8741187270838173,4.570968712349178,0.1652860599188515,5.994153014598488,0.027578043590022278,2.273865579986528,34815,34815,101.20600370366759,12.0,1.4548797124854758,0.0,22.0,0.9703576784406839,0.008391117424213468,41731.132364349796,0.9703576784406839,22.0,0.9113503187011347,0.009051173507885191,145883.58307214212,0.9113503187011347,0.009097129281120124,0.9391900934567025,0.02435630083878754,3.5564693657043835,0.0077036303370595464,404.40975453888706,1.9586914898448813,0.0,404.4097227731754,101.20600370366759,505.615726476843,11.0,7.0,1.0,504.16666666666674,47.22222222222222,455.0,16796.127316459824,0.3559554446589182,0.430399641260234
2.0,551.3888888888889,0.1095562977491013,0.05588559063319793,12.015048555460059,-0.2131996271363257,12.015178525069999,1.1018783787931268,-8.144114409366802,12.015048555460059,-0.1881996271363257,14.516315317689028,-0.012965060045933436,2.166485004479885,97889,97889,408.5152183998043,12.0,0.9186262184772697,0.0,22.0,0.9707516703420814,0.008386702550333176,14813.90259388799,0.9707516703420814,22.0,0.517570798734051,0.01395553319406359,101989.80315497554,0.517570798734051,0.013834787128945748,0.5331649839465794,0.04243915038042899,2.0063850868770765,0.019923060682866797,143.0418417825891,1.811399758989578,0.0,143.04119019249825,408.5152183998043,551.5564085923025,12.0,8.0,1.0,551.3888888888889,47.22222222222222,479.0,17682.076889196167,0.170102630330834,0.1598720634305752
2.0,551.3888888888889,-0.04852918357537525,2.2619455214407376,-7.984017340169606,-0.15376628423707495,8.298248636314458,1.1018783787931268,-5.938054478559262,-7.984017340169606,-0.12876628423707495,9.950959985570382,-0.012940447781696514,4.072904597148755,114560,114560,441.59204046490936,12.0,0.8552736512017759,0.0,22.0,0.9807328759934819,0.008274776240548037,14398.866880404536,0.9807328759934819,22.0,0.5020114714802668,0.014194422587164393,100359.17308361849,0.5020114714802668,0.014066070081576013,0.5118738076071218,0.04359076652582117,1.8058391168129326,0.020778451361828043,110.09622208256619,1.809133928844349,0.0,110.09547918306023,441.59204046490936,551.6875196479696,12.0,8.0,1.0,551.3888888888889,47.22222222222222,479.0,17682.076889196167,0.19530590975776296,0.197058192193546
2.0,551.3888888888889,0.052662355848966794,10.914398439989947,-3.425264121182185,-0.024108114014716665,11.439253804628734,1.1018783787931268,2.7143984399899477,-3.425264121182185,0.0008918859852833361,4.370399751320059,0.0002040742362765718,5.382517866983035,593865,593865,166.35676677067852,12.0,1.3726718997818033,0.0,22.0,1.0741769158450143,0.007211846694635745,30997.08288171122,1.0741769158450143,22.0,0.7171166493260327,0.011287445894855494,123037.39850375373,0.7171166493260327,0.011252609656884141,0.6675964068376057,0.03266098661800845,3.3405754688569202,0.012260695940574717,386.47133236823254,1.9268040394391674,0.0,386.471208497841,166.35676677067852,552.8279752685196,12.0,8.0,1.0,551.3888888888889,47.22222222222222,479.0,17682.076889196167,0.3390927332823896,0.4101558377217967
