ID,UID,time,event,semiMajor,eccentricity,type1,mass1,radius1,Teff1,massHeCore1,type2,mass2,radius2,Teff2,massHeCore2,porb
707,707,12835.463709809052,42.0,0.8726343103910719,0.0,22.0,0.5217134762291658,0.01389294460462407,2721.9180253102923,0.5217134762291658,21.0,0.22441453841983017,8.843920361782283,4560.617846415354,0.22441453841983017,0.1093143903001096
709,709,1620.220056062321,42.0,0.6085056677497721,0.0,22.0,0.9590959855150202,0.008517225743931593,8943.80829564275,0.9590959855150202,21.0,0.23966727393172926,9.609487791702337,4828.726363490681,0.23966727393172926,0.05021874009302429
1116,1116,11344.028107418986,42.0,0.6918382536233232,0.0,22.0,0.7586782546560055,0.01079197756200178,3179.773915072104,0.7586782546560055,21.0,0.19778844686525585,5.621172280668296,4733.229287895128,0.19778844686525585,0.06815653654685555
1122,1122,1382.3607945053022,42.0,0.9180096054890122,0.0,22.0,0.672004674255217,0.011842582688074423,8477.84486458276,0.672004674255217,21.0,0.2908435116067355,19.645179992359612,4514.718475536185,0.2908435116067355,0.10383111388067406
1162,1162,7117.367741928791,42.0,0.7985870836459013,0.0,22.0,0.5216951930590896,0.013893219924260122,4241.639665233908,0.5216951930590896,21.0,0.2365608397965111,10.265610895064828,4581.329109443635,0.2365608397965111,0.09493165854213714
1168,1168,1109.4311936345791,42.0,0.9419831875640271,0.0,22.0,0.6949410452028255,0.011557802669946915,9374.048588326532,0.6949410452028255,21.0,0.31591876145480075,20.512438906278145,4525.682710469109,0.31591876145480075,0.10533066989198303
1217,1217,1890.5148099223104,42.0,0.87973750368883,0.0,22.0,0.6054425043963714,0.012705152594875653,7508.691487880565,0.6054425043963714,21.0,0.28105283747859006,17.6728878963565,4521.659040669122,0.28105283747859006,0.10151425087257362
1252,1252,1838.247766899662,42.0,1.3703747132574773,0.0,22.0,0.6478484551688369,0.012148904017761399,7690.663918414816,0.6478484551688369,21.0,0.3069616111861479,24.8120733382647,4355.762397366634,0.3069616111861479,0.19016741061512696
1253,1253,9540.014869451084,42.0,1.4947301324164484,0.0,22.0,0.6003895656358674,0.012773203652325949,3898.324843811543,0.6003895656358674,21.0,0.254900266866245,13.820871266101067,4416.287469795329,0.254900266866245,0.22888804669308332
1263,1263,13525.63687810586,42.0,0.5194416924781737,0.0,22.0,0.551228354832423,0.013458396473333566,2195.1363889777185,0.551228354832423,21.0,0.19457519756285482,5.377618101636508,4721.781132747043,0.19457519756285482,0.05021443340876981
1298,1298,11797.117658738744,42.0,0.4295922070919925,0.0,22.0,0.6337278439048865,0.012331338820290522,2761.059736071121,0.6337278439048865,21.0,0.1826235948943249,4.297772315328106,4802.675458523576,0.1826235948943249,0.03609787142790348
1319,1319,9616.602288456674,42.0,0.6856053817169832,0.0,22.0,0.5308651406700987,0.01375611972600734,3701.436600496553,0.5308651406700987,21.0,0.21882729763326228,7.919415633892631,4640.6123160157385,0.21882729763326228,0.0759460769392414
1325,1325,2801.517513347634,42.0,1.1692990343185825,0.0,22.0,0.6218653352289631,0.012486691954147016,6200.019300492024,0.6218653352289631,21.0,0.2811301780710265,18.263940661486462,4449.729066874875,0.2811301780710265,0.1541278688795386
1361,1361,3234.461031278836,42.0,1.6112735099531668,0.0,22.0,0.5711342872747014,0.01317561253880878,6375.5672915915675,0.5711342872747014,21.0,0.3018951146299429,24.30978545919886,4292.034216995026,0.3018951146299429,0.25355667547436495
1365,1365,10027.637146293373,42.0,0.9640788902270917,0.0,22.0,0.7641248077649914,0.010727993965846143,3932.087609904811,0.7641248077649914,21.0,0.2171283687005138,7.725787350076182,4643.795539402501,0.2171283687005138,0.11069140644821426
1413,1413,7273.80895084024,42.0,0.7692728447487375,0.0,22.0,0.5272055040185994,0.013810600189963197,4122.748524734778,0.5272055040185994,21.0,0.23327232216480134,9.77147041528421,4598.164129291714,0.23327232216480134,0.0896216444952423
1529,1529,1366.8788180083136,42.0,0.6290519656412499,0.0,22.0,0.6639020956141949,0.01194455934129968,8288.144862844852,0.6639020956141949,21.0,0.2682151450551938,14.400454021063696,4669.887992431606,0.2682151450551938,0.05985908836465565
1545,1545,5082.082481521473,43.0,0.737398948376724,0.0,21.0,0.4471772297798396,0.015091254986831715,10010.030952656123,0.4471772297798396,21.0,0.2515358262815406,12.54813284155778,4543.388062715102,0.2515358262815406,0.08774854517008564
1564,1564,10810.121255504135,42.0,0.5407263718708192,0.0,22.0,0.5421551840310322,0.013589945401698588,3371.4254384833257,0.5421551840310322,21.0,0.2027863340924624,6.107669605122525,4714.003160202116,0.2027863340924624,0.0533630716351536
1612,1612,710.5766000571341,11.0,0.4574713908275594,0.0,22.0,0.4881663109586265,0.01441236594514531,98903.5408457055,0.4881663109586265,22.0,0.6680747207492524,0.011891950072333304,15121.681960959857,0.6680747207492524,0.03333168768313149
1626,1626,7364.2691097133775,42.0,0.36975106204790564,0.0,22.0,0.5341214184769237,0.013707900815615851,4071.5553213788576,0.5341214184769237,21.0,0.19497081664319302,5.19056316041023,4820.7741657362985,0.19497081664319302,0.030500607661023013
1674,1674,10594.902635213708,42.0,0.8076264740020427,0.0,22.0,0.829921404004133,0.009968559069981354,3738.1637096273407,0.829921404004133,21.0,0.20282645281805378,6.1034628576311665,4717.026879458583,0.20282645281805378,0.08272832895206929
1733,1733,11733.120205459067,43.0,0.42590165180572426,0.0,21.0,0.42985978717670337,0.015395337394637831,4834.359563449847,0.42985978717670337,21.0,0.20012334677800048,5.866494002279032,4715.491118568225,0.20012334677800048,0.04056347083351359
1795,1795,2501.4825462855097,42.0,0.42316574310139354,0.0,22.0,0.5332038174638536,0.013721464413882126,6966.452339420735,0.5332038174638536,21.0,0.23443719562442408,9.182261436575388,4778.972819062145,0.23443719562442408,0.03639336827106347
1815,1815,4898.945395284378,42.0,0.4707607732498717,0.0,22.0,0.6184006801784981,0.012532444174032749,4849.028085923051,0.6184006801784981,21.0,0.21096432708440316,6.627638407798954,4801.796435214098,0.21096432708440316,0.0410830928149812
